0.0127;0.0001;0.0002;0.0153;0.0400;-0.0100;47.7444;31.2500;-1
0.0115;0.0001;0.0002;0.0142;0.0400;-0.0100;46.3728;13.6719;-1
0.0125;0.0001;0.0002;0.0154;0.0400;-0.0100;43.6845;11.7188;-1
0.0119;0.0001;0.0002;0.0144;0.0400;-0.0100;65.2540;44.9219;-1
0.0118;0.0001;0.0002;0.0149;0.0500;-0.0100;75.9699;66.4063;-1
0.0185;0.0002;0.0005;0.0224;0.0600;-0.0100;63.7030;52.7344;1
0.0235;0.0004;0.0009;0.0301;0.0800;0.0100;70.6703;64.4531;1
0.0172;0.0002;0.0005;0.0217;0.0500;0.0100;63.2489;52.7344;1
0.0111;0.0001;0.0003;0.0162;0.0400;-0.0100;64.3554;46.8750;-1
0.0086;0.0001;0.0002;0.0126;0.0500;-0.0100;60.2654;44.9219;-1
0.0156;0.0002;0.0005;0.0215;0.0800;-0.0100;77.7363;60.5469;1
0.0233;0.0004;0.0009;0.0306;0.1000;0.0200;51.7645;42.9688;1
0.0107;0.0001;0.0002;0.0148;0.0400;-0.0100;72.0809;58.5938;1
0.0107;0.0001;0.0002;0.0136;0.0400;-0.0100;38.1419;1.9531;-1
0.0176;0.0003;0.0006;0.0242;0.1000;-0.0100;78.6437;64.4531;1
0.0234;0.0005;0.0010;0.0318;0.1000;-0.0000;71.5031;58.5938;1
0.0119;0.0001;0.0002;0.0158;0.0500;-0.0100;76.1762;68.3594;1
0.0088;0.0001;0.0001;0.0120;0.0400;-0.0100;60.2131;39.0625;-1
0.0145;0.0002;0.0004;0.0206;0.0900;-0.0100;69.2519;64.4531;1
0.0225;0.0004;0.0009;0.0299;0.0900;0.0100;63.7319;54.6875;1
0.0138;0.0002;0.0004;0.0191;0.0700;0.0100;63.5844;48.8281;1
0.0088;0.0001;0.0002;0.0132;0.0400;-0.0100;74.0141;56.6406;-1
0.0129;0.0002;0.0004;0.0191;0.0700;-0.0100;79.5183;66.4063;1
0.0240;0.0004;0.0010;0.0309;0.0900;-0.0100;70.3412;58.5938;1
0.0137;0.0001;0.0003;0.0177;0.0700;-0.0100;49.4396;41.0156;1
0.0139;0.0001;0.0003;0.0166;0.0400;-0.0100;25.3641;1.9531;-1
0.0174;0.0001;0.0004;0.0204;0.0600;-0.0200;36.6753;1.9531;-1
0.0273;0.0004;0.0012;0.0344;0.0900;-0.0100;56.6605;46.8750;1
0.0201;0.0002;0.0006;0.0241;0.0800;-0.0200;31.4921;1.9531;-1
0.0180;0.0001;0.0004;0.0210;0.0300;-0.0200;14.2905;1.9531;-1
0.0187;0.0001;0.0004;0.0203;0.0100;-0.0200;10.8509;1.9531;-1
0.0262;0.0003;0.0010;0.0318;0.0800;-0.0200;50.1973;41.0156;1
0.0237;0.0003;0.0009;0.0294;0.0500;-0.0200;41.5206;31.2500;1
0.0219;0.0003;0.0007;0.0271;0.0200;-0.0200;17.7922;1.9531;-1
0.0187;0.0001;0.0005;0.0214;0.0100;-0.0200;11.7105;1.9531;-1
0.0241;0.0003;0.0009;0.0296;0.0800;-0.0200;41.3413;15.6250;1
0.0306;0.0007;0.0017;0.0408;0.0900;-0.0200;47.9678;41.0156;1
